Nume,Descriere,Categorie,Pret,Cost,Vanzare_ok,Achizitie_ok,Unitate,Unitate_achizitie,Cod_bare,SKU,Taxe,Taxe_achizitie,Tip_produs
BATERIE EXTERNA,,Obiecte de inventar,1.0,179.0,True,True,Units,Units,,OBI00011,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
BAZA ORIZONTALA SPC 460x315x5mm_Izolatie,,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,E_00539,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
BAZA PICIOR DIN METAL,,Obiecte de inventar,1.0,10.82,True,True,Units,Units,,OBI00012,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
BAZA VERTICALA SPC 765x425x5mm_Izolatie,,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,E_00538,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
BIROU KARUP 40*100,,Obiecte de inventar,1.0,105.04,True,True,Units,Units,,OBI00013,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
BIROU TEMPRA KTSS,,Obiecte de inventar,1.0,284.32,True,True,Units,Units,,OBI00014,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
BOXA JBL FLIP 5 ROSU,,Obiecte de inventar,1.0,429.59000000000003,True,True,Units,Units,,OBI00015,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
BRAZURA ARGINT AG25SN FI 2.0_3125015120_Pachet =1Kg,,Materii prime generale ,1.0,0.0,True,True,kg,kg,,E_06975,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
BUCLE METALICE 16 MM,,Obiecte de inventar,1.0,118.24000000000001,True,True,Units,Units,,OBI00016,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
BURGHIU METAL DIF,,Obiecte de inventar,1.0,5.5200000000000005,True,True,Units,Units,,OBI00017,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
BURGHIU METAL IN TREPTE 8 - 35,,Obiecte de inventar,1.0,157.98,True,True,Units,Units,,OBI00018,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
BUTON CU REVENIRE,,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,E_31217,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
BYPASS FITTING 1 inch Fx1 inch F_EVIN15C025 (C.T.NO. 84818099) (ADAPTOR H) (Art.15C),,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,EVI_00472,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
CABLU ALARMA 4x0.22,,Materii prime generale ,1.0,0.0,True,True,m,m,,E_00187,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
CABLU ASSY OH_01(BTHK 101-0110=pt. UFH sau RAK impreuna cu Termostat de Avarie),,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,EVI_00119,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
CABLU ASSY PO_TP_01&XJ8_01&LS_TP_01 (cu intrerupator=BTHK 101-0114; in contact J8+J27+in pompa+X8),,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,EVI_00126,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
CABLU ASSY PS_TP_01( HUBA FLOW=in contact J24; BTHK 101-0112/2 ) ,,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,EVI_00359,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
CABLU ASSY PS_TP_01(HUBA PRESS=in contact J24; BTHK 101-0112) ,,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,EVI_00125,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
CABLU ASSY RB (cu buton Restart=BTHK 101-0113; in contact RB+J21),,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,EVI_00128,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
CABLU ASSY XJ10_01(BTHK 101-0104),,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,EVI_00120,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
CABLU ASSY XJ10_01(BTHK 101-0104AT)_varianta A,,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,EVI_00311,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
CABLU ASSY XJ11_01(BTHK 101-0105),,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,EVI_00121,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
CABLU ASSY XJ11_01(BTHK 101-0105AT)_varianta A,,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,EVI_00312,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
CABLU ASSY XJ12_01(BTHK 101-0106),,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,EVI_00122,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
CABLU ASSY XJ12_01(BTHK 101-0106AT)_varianta A,,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,EVI_00365,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
CABLU ASSY XJ13_01(BTHK 101-0107),,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,EVI_00123,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
CABLU ASSY XJ13_01(BTHK 101-0107A1)_varianta A,,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,EVI_00366,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
CABLU ASSY XJ15_01&LE1_01 (cu led=BTHK 101-0111; in contact J15+X15),,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,EVI_00127,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
CABLU ASSY XJ22_01(BTHK 101-0108),,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,EVI_00124,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
CABLU ASSY XJ22_01(BTHK 101-0108A)_varianta A,,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,EVI_00367,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
CABLU FASTER (PENTRU SENZOR UFH)_TSK99X1,,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,EVI_00116,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
CABLU J10-X10 M2018,,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,E_00659,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
CABLU J11-X11 M2018,,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,E_00660,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
CABLU J12-X12 M2018,,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,E_00661,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
CABLU J13-X13 M2018,,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,E_00662,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
CABLU J15-X15 M2018,,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,E_00663,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
CABLU J22-X22 M2018,,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,E_00664,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
CABLU J27 Pump M2018 (doar la UFH),,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,E_00665,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
CABLU J8-X8 M2018,,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,E_00658,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
CABLU LIYY 4x0.34_ELCAB_4912-5332,,Materii prime generale ,1.0,0.0,True,True,m,m,,E_00530,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
CABLU MYYM_2x 0.5 ( MYM si MYP ),,Materii prime generale ,1.0,0.0,True,True,m,m,,E_00078,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
CABLU MYYM_3x0.75 ( MYM ),,Materii prime generale ,1.0,0.0,True,True,m,m,,E_00169,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
"CABLU S3_S4_S5 _CABLU SENZOR TEMP. S3, S4, S5_AWG24-0.25 ",,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,E_00667,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
CABLU SIKA FLOW_MODEL 2018_BTHK 101-0112/2_SIKA,,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,E_00686,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
Capac placa spate 505x195mm cu decupare_Izolatie CHHC,,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,E_00771,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
CAPAC PROTECTIE APA RIVERLIGHT _Plastic,,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,E_00704,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
Capac superior 500x175mm cu decupare_Izolatie CHHC,,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,E_00772,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
CAPAC SUPERIOR PROIECT 2015_420x190x5mm (Izolatie),,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,E_00433,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
CAPAC SUPERIOR SPC_420x 180x 5mm_Izolatie,,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,E_00542,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
CAPAC VENTIL,,Materii prime generale ,1.0,0.0,True,True,Units,Units,,E_00244,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
Capat de fixare sir 9708/2 (=blocare cleme sir pe sina Omega ),,Materii prime generale ,1.0,0.0,True,True,Units,Units,,E_00348,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
CAP DE TRAGERE 10 MM,,Obiecte de inventar,1.0,1064.7,True,True,Units,Units,,OBI00019,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
CAP DE TRAGERE 15 MM,,Obiecte de inventar,1.0,1123.6000000000001,True,True,Units,Units,,OBI00020,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
CAP DE TRAGERE 18 MM,,Obiecte de inventar,1.0,1191.56,True,True,Units,Units,,OBI00021,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
CAP DE TRAGERE 22 MM,,Obiecte de inventar,1.0,1409.03,True,True,Units,Units,,OBI00022,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
CASCA BLACKWIRE USB,,Obiecte de inventar,1.0,193.0,True,True,Units,Units,,OBI00023,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
CASCA CALL CENTER PLANTRONICS,,Obiecte de inventar,1.0,180.95000000000002,True,True,Units,Units,,OBI00024,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
